Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount
2022-05-31,2024-04-05,675,1,2022-5916,105609.74,105609.74
2023-08-16,2024-04-05,233,1,2023-6512,263821.73,263821.73
2023-08-16,2024-04-05,233,1,2023-6512,90150.94,90150.94
2023-08-16,2024-04-05,233,1,2023-6512,8442.53,8442.53
2019-01-31,2019-09-17,229,1,2019-4610,102461.41,102461.4
2019-01-31,2019-09-17,229,1,2019-4610,102461.41,0.01
2019-01-31,2019-09-17,229,1,2019-4610,61296.04,61296.04
2019-07-31,2020-03-04,217,1,2019-4840,31578.29,31578.29
2019-07-31,2020-03-04,217,1,2019-4840,22190.91,22190.91
2019-07-31,2020-03-04,217,1,2019-4840,17435.27,17435.27
2019-02-28,2019-09-17,201,1,2019-4654,44621.65,44621.65
2019-02-28,2019-09-17,201,1,2019-4654,13355.94,13355.94
2018-06-28,2019-01-09,195,1,2018/4330,308482.12,308482.12
2018-06-28,2019-01-09,195,1,2018/4330,46435.98,46435.98
2019-08-29,2020-03-04,188,1,2019-4873,48567.27,48567.27
2019-08-29,2020-03-04,188,1,2019-4873,11834.44,11834.44
2022-04-29,2022-10-14,168,1,2022-5878,81870.41,81870.41
2022-04-29,2022-10-14,168,1,2022-5878,9029.56,9029.56
2019-07-31,2019-12-29,151,1,2019-4844,545557.84,545557.84
2022-06-30,2022-11-14,137,1,2022-5950,511391.92,511391.92
2019-12-30,2020-05-11,133,1,2019-5012,504920.29,504920.29
2019-10-30,2020-03-04,126,1,2019-4937,34555.13,34555.13
2019-10-30,2020-03-04,126,1,2019-4937,12684.67,12684.67
2018-09-30,2019-01-30,122,1,2018/4451,159590.0,159590.0
2022-06-16,2022-10-14,120,1,2022-5930,59577.03,59577.03
2023-10-26,2024-02-21,118,1,2023-6591,115422.08,115422.08
2019-04-30,2019-08-25,117,1,2019-4713,75567.44,75567.44
2018-03-29,2018-07-18,111,1,2018/4222,539101.9,539101.9
2018-03-29,2018-07-18,111,1,2018/4222,41447.58,41447.58
2019-11-30,2020-03-18,109,1,2019-4977,308482.12,308482.12
2019-11-30,2020-03-18,109,1,2019-4977,46435.98,46435.98
2019-11-30,2020-03-18,109,1,2019-4977,18289.78,18289.78
2023-11-17,2024-02-27,102,1,2023-6627,503724.14,503724.14
2018-09-30,2019-01-09,101,1,2018/4451,308482.12,308482.12
2022-03-31,2022-07-01,92,1,2022-5863,584352.38,584352.38
2022-03-31,2022-07-01,92,1,2022-5856,227788.8,227788.8
2022-03-31,2022-07-01,92,1,2022-5863,105175.91,105175.91
2022-03-31,2022-07-01,92,1,2022-5855,18722.47,18722.47
2022-10-31,2023-01-27,88,1,2022-6142,338437.17,338437.17
2024-02-29,2024-05-27,88,1,2024-6775,367264.94,367264.94
2022-10-31,2023-01-27,88,1,2022-6141,137571.55,137571.55
2023-10-26,2024-01-22,88,1,2023-6590,27843.52,27843.52
2023-12-20,2024-03-15,86,1,2023-6652,323553.51,323553.51
2023-12-20,2024-03-15,86,1,2023-6652,131272.24,131272.24
2023-12-20,2024-03-15,86,1,2023-6664,18996.04,18996.04
2023-12-20,2024-03-15,86,1,2023-6664,20626.5,20626.5
2022-09-30,2022-12-23,84,1,2022-6087,304231.28,304231.28
2018-07-22,2018-10-14,84,1,2018/4356,128756.24,128756.24
2018-07-22,2018-10-14,84,1,2018/4356,128956.32,128956.32
2022-09-30,2022-12-23,84,1,2022-6071,42894.59,42894.59
2018-07-22,2018-10-14,84,1,2018/4356,15536.34,15536.34
2018-07-22,2018-10-14,84,1,2018/4356,11834.44,11834.44
2023-05-31,2023-08-21,82,1,2023-6424,1155073.34,1155073.34
2019-01-31,2019-04-22,81,1,2019-4609,250178.06,250178.06
2019-01-31,2019-04-22,81,1,2019-4609,141728.05,141728.05
